equation,equation_en
$ P_ { e e } $,P subscript open brace e e close brace
$ T_x^ { K } $,T subscript x to the power of open brace K close brace
$ 1.684 $,1 point 684
$ is an inverse of $,is an inverse of
$ f^ * _ { min } $,f to the power of times subscript open brace min close brace
$ { 0.51 } ^ { +0.31 } _ { -0.19 } $,open brace 0 point 51 close brace to the power of open brace plus 0 point 31 close brace subscript open brace minus 0 point 19 close brace
$ ^ { +5.4 } _ { -3.7 } $,to the power of open brace plus 5 point 4 close brace subscript open brace minus 3 point 7 close brace
$ is the temperature at a radius of 10~au . We fix the power-law index to $,is the temperature at a radius of 10 tilde au point We fix the power minus law index to
$ c_ { i ' } d_ { u-i ' } $,c subscript open brace i ' close brace d subscript open brace u minus i ' close brace
$ is not cyclic and consider $,is not cyclic and consider
$ \frac { d S_ { t } } { S_ { t } } $,frac open brace d S subscript open brace t close brace close brace open brace S subscript open brace t close brace close brace
$ ( 1+r ) / [ 2r ( i_1+1 ) + ( 1+r ) ( i_2+i_3+1 ) +2i_4 ] $,open parenthesis 1 plus r close parenthesis divided by open bracket 2r open parenthesis i subscript 1 plus 1 close parenthesis plus open parenthesis 1 plus r close parenthesis open parenthesis i subscript 2 plus i subscript 3 plus 1 close parenthesis plus 2i subscript 4 close bracket
$ R~=~I_ { b } /I_ { a } $,R tilde equals tilde I subscript open brace b close brace divided by I subscript open brace a close brace
$ 49^ { +18 } _ { -12 } $,49 to the power of open brace plus 18 close brace subscript open brace minus 12 close brace
"$ AO_ { 1,4 } $",AO subscript open brace 1 comma 4 close brace
$ should not exceed some threshold $,should not exceed some threshold
$ 0.0008653 ( ^ { +12 } _ { -10 } ) $,0 point 0008653 open parenthesis to the power of open brace plus 12 close brace subscript open brace minus 10 close brace close parenthesis
$ m_ { views } $,m subscript open brace views close brace
$ \frac { |m| } { 2 } $,frac open brace vertical bar m vertical bar close brace open brace 2 close brace
$ nodes with the largest $,nodes with the largest
$ be the class of neural networks with the same architecture as those in $,be the class of neural networks with the same architecture as those in
"$ . Thus , for each node $",point Thus comma for each node
$ 1^M $,1 to the power of M
$ U=X ' $,U equals X '
$ and the same for versions of $,and the same for versions of
"$ x , t= O ( A ) $",x comma t equals O open parenthesis A close parenthesis
$ Mo ( G ) =1 $,Mo open parenthesis G close parenthesis equals 1
$ p ( m+1 ) -1 $,p open parenthesis m plus 1 close parenthesis minus 1
$ 's minimality ; and $,'s minimality semicolon and
$ m2/m1 $,m2 divided by m1
"$ , and is expressed as $",comma and is expressed as
$ O ( n^2+2^m ) $,O open parenthesis n to the power of 2 plus 2 to the power of m close parenthesis
$ S_ { key } $,S subscript open brace key close brace
$ t = 3/c_4 $,t equals 3 divided by c subscript 4
$ t < n $,t less than n
$ m_V=22.3 $,m subscript V equals 22 point 3
$ R_1 > 1/2 $,R subscript 1 greater than 1 divided by 2
"$ connected components , each of which corresponds to the interaction vertex $",connected components comma each of which corresponds to the interaction vertex
$ p_3^2 = 0 $,p subscript 3 to the power of 2 equals 0
$ become simply $,become simply
"$ X ( t , p ) = X_t ( p ) $",X open parenthesis t comma p close parenthesis equals X subscript t open parenthesis p close parenthesis
"$ A ( x , y ) $",A open parenthesis x comma y close parenthesis
$ 4/20 $,4 divided by 20
$ C=C ( P ) > 0 $,C equals C open parenthesis P close parenthesis greater than 0
"$ e ( x_k , u_k ) $",e open parenthesis x subscript k comma u subscript k close parenthesis
$ _ { -1082 } ^ { +1199 } $,subscript open brace minus 1082 close brace to the power of open brace plus 1199 close brace
$ 200d $,200d
$ X_ { t - i } $,X subscript open brace t minus i close brace
$ u= ( 13254 ) $,u equals open parenthesis 13254 close parenthesis
"$ is a vector of covariates , % the $",is a vector of covariates comma percent the
$ k_j > k_ { j+1 } $,k subscript j greater than k subscript open brace j plus 1 close brace
$ { Q/M=1 } $,open brace Q divided by M equals 1 close brace
$ m_ { EC } $,m subscript open brace EC close brace
$ D=q_1+q_2 $,D equals q subscript 1 plus q subscript 2
"$ b= [ b_0 , b_1 , b_2 ] $",b equals open bracket b subscript 0 comma b subscript 1 comma b subscript 2 close bracket
$ P_3^s $,P subscript 3 to the power of s
$ O ( x^ { 33 } ) $,O open parenthesis x to the power of open brace 33 close brace close parenthesis
$ P ( H_1^ { ( t ) } ) =P ( H_ { M+1 } ^ { ( t ) } ) =1 $,P open parenthesis H subscript 1 to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals P open parenthesis H subscript open brace M plus 1 close brace to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals 1
"$ b= ( p ( a ) , q ( a ) ) $",b equals open parenthesis p open parenthesis a close parenthesis comma q open parenthesis a close parenthesis close parenthesis
$ GF ( 2^ { n - t } ) $,GF open parenthesis 2 to the power of open brace n minus t close brace close parenthesis
$ coordinates where $,coordinates where
"$ H ( x , y , z ) $",H open parenthesis x comma y comma z close parenthesis
$ O ( r_c ) $,O open parenthesis r subscript c close parenthesis
$ J_z=-1 $,J subscript z equals minus 1
$ E_1 ( r ) $,E subscript 1 open parenthesis r close parenthesis
$ ( x_B-1 ) $,open parenthesis x subscript B minus 1 close parenthesis
$ S_k^N $,S subscript k to the power of N
$ g=g ( z ) $,g equals g open parenthesis z close parenthesis
$ 0.9963_ { -0.0080 } ^ { +0.0033 } $,0 point 9963 subscript open brace minus 0 point 0080 close brace to the power of open brace plus 0 point 0033 close brace
$ 2.53^ { +0.51 } _ { -0.22 } $,2 point 53 to the power of open brace plus 0 point 51 close brace subscript open brace minus 0 point 22 close brace
"$ f=f_ { e , h } $",f equals f subscript open brace e comma h close brace
"$ , denote the obtained coefficient estimates as $",comma denote the obtained coefficient estimates as
$ ^ { +0.14 } _ { -0.04 } $,to the power of open brace plus 0 point 14 close brace subscript open brace minus 0 point 04 close brace
$ z=k ( x-ct ) $,z equals k open parenthesis x minus ct close parenthesis
$ i_ { b-1 } $,i subscript open brace b minus 1 close brace
$ A_ { ik } = -A_ { ki } $,A subscript open brace ik close brace equals minus A subscript open brace ki close brace
$ ( i_G ) _ * $,open parenthesis i subscript G close parenthesis subscript times
$ ( inside the integral $,open parenthesis inside the integral
"$ U-X- ( Y_1 , Y_2 ) $",U minus X minus open parenthesis Y subscript 1 comma Y subscript 2 close parenthesis
$ b_2'=v_2 $,b subscript 2' equals v subscript 2
$ GIC_ { a_n } $,GIC subscript open brace a subscript n close brace
$ \frac { 28 } 9 $,frac open brace 28 close brace 9
$ C_0 ( X ) _L $,C subscript 0 open parenthesis X close parenthesis subscript L
$ 3.10^ { +0.26 } _ { -0.19 } $,3 point 10 to the power of open brace plus 0 point 26 close brace subscript open brace minus 0 point 19 close brace
$ H= 9 $,H equals 9
$ c '' ' ( u_4 ) =r $,c '' ' open parenthesis u subscript 4 close parenthesis equals r
$ ( d_l^+ ) $,open parenthesis d subscript l to the power of plus close parenthesis
$ xy^ { 11 } $,xy to the power of open brace 11 close brace
$ 11.167 $,11 point 167
$ consisting of generalized eigenvectors of $,consisting of generalized eigenvectors of
"$ given the SFC , $",given the SFC comma
"$ f_ { A,3-i } $",f subscript open brace A comma 3 minus i close brace
$ Q_ { 0.75 } $,Q subscript open brace 0 point 75 close brace
$ 17^ { +3 } _ { -3 } $,17 to the power of open brace plus 3 close brace subscript open brace minus 3 close brace
"$ ( A , z , k ) $",open parenthesis A comma z comma k close parenthesis
$ 0.7450 $,0 point 7450
$ This of course satisfies the condition $,This of course satisfies the condition
$ 0.779^ { +0.036 } _ { -0.034 } $,0 point 779 to the power of open brace plus 0 point 036 close brace subscript open brace minus 0 point 034 close brace
$ 0.032^ { +0.002 } _ { -0.002 } $,0 point 032 to the power of open brace plus 0 point 002 close brace subscript open brace minus 0 point 002 close brace
$ ( 6/5 ) ^ { 1/3 } $,open parenthesis 6 divided by 5 close parenthesis to the power of open brace 1 divided by 3 close brace
"$ H_ { 1 , loc } ( k ) $",H subscript open brace 1 comma loc close brace open parenthesis k close parenthesis
"$ c_ { j,1 } $",c subscript open brace j comma 1 close brace
$ +0.000+0.000 i $,plus 0 point 000 plus 0 point 000 i
"$ , the prismatic package $",comma the prismatic package
"$ h_ { 2,0,6 } $",h subscript open brace 2 comma 0 comma 6 close brace
"$ ( Q^a , R^a ) $",open parenthesis Q to the power of a comma R to the power of a close parenthesis
$ . % In atomic units we have $,point percent In atomic units we have
"$ W ( E/K_ { i } , O_f ) _ { z_i } $",W open parenthesis E divided by K subscript open brace i close brace comma O subscript f close parenthesis subscript open brace z subscript i close brace
$ f_1 ( x=2 ) $,f subscript 1 open parenthesis x equals 2 close parenthesis
$ v_k > v'_k $,v subscript k greater than v' subscript k
"$ A ( z , u , q ) $",A open parenthesis z comma u comma q close parenthesis
$ -n_ { d } ^ { x } n_ { B } ^ { x+1 } $,minus n subscript open brace d close brace to the power of open brace x close brace n subscript open brace B close brace to the power of open brace x plus 1 close brace
"$ e^1 , e^2 $",e to the power of 1 comma e to the power of 2
$ denote the kernel of the homomorphism $,denote the kernel of the homomorphism
"$ ( X , C , Y_1 , Y_0 ) $",open parenthesis X comma C comma Y subscript 1 comma Y subscript 0 close parenthesis
"$ I_i ( u , z ) $",I subscript i open parenthesis u comma z close parenthesis
$ shares that lie in the same polynomial $,shares that lie in the same polynomial
$ with the sinusoidal position embedding for $,with the sinusoidal position embedding for
$ |f| = p^m $,vertical bar f vertical bar equals p to the power of m
"$ ( t , y , z ) $",open parenthesis t comma y comma z close parenthesis
"$ , which happens if and only if $",comma which happens if and only if
$ easier since $,easier since
$ w=1/z $,w equals 1 divided by z
$ d_ { ML } =c_ { Al_2O_3 } /L $,d subscript open brace ML close brace equals c subscript open brace Al subscript 2O subscript 3 close brace divided by L
$ m_1 ( I ) $,m subscript 1 open parenthesis I close parenthesis
$ 1.02 $,1 point 02
$ a ( f_i ) =a ( f_ { i+1 } ) $,a open parenthesis f subscript i close parenthesis equals a open parenthesis f subscript open brace i plus 1 close brace close parenthesis
$ covers the bottom edge of $,covers the bottom edge of
$ with~ $,with tilde
$ d_o+1 $,d subscript o plus 1
$ ( L_z ) $,open parenthesis L subscript z close parenthesis
$ 24K $,24K
$ a^ { ( j ) } _ { 2 } =a^ { ( j ) } _1 $,a to the power of open brace open parenthesis j close parenthesis close brace subscript open brace 2 close brace equals a to the power of open brace open parenthesis j close parenthesis close brace subscript 1
$ n_l * ( wb/8 ) $,n subscript l times open parenthesis wb divided by 8 close parenthesis
$ Y_ { 0 : t } $,Y subscript open brace 0 colon t close brace
$ which approves exactly the three candidates corresponding to the $,which approves exactly the three candidates corresponding to the
$ T ( 100 ) $,T open parenthesis 100 close parenthesis
$ h_C ( X ) $,h subscript C open parenthesis X close parenthesis
"$ [ 24,17,6 ] _ { 16 } $",open bracket 24 comma 17 comma 6 close bracket subscript open brace 16 close brace
$ is the noise level in $,is the noise level in
$ Z ( H ) $,Z open parenthesis H close parenthesis
$ Ss $,Ss
$ 40.6^ { +7.7 } _ { -7.1 } $,40 point 6 to the power of open brace plus 7 point 7 close brace subscript open brace minus 7 point 1 close brace
$ e_i ( t ) = 0 $,e subscript i open parenthesis t close parenthesis equals 0
$ InDev_1 = 2 $,InDev subscript 1 equals 2
